################################# GMF factor8 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.1041, NDCG = 0.0463         [4.0 s]
Iteration 9 [25.3 s]: HR = 0.6738, NDCG = 0.3972, loss = 0.2512 [1.5 s]
Iteration 10 [25.4 s]: HR = 0.6793, NDCG = 0.4009, loss = 0.2501 [1.5 s]
Iteration 11 [25.5 s]: HR = 0.6788, NDCG = 0.4019, loss = 0.2495 [1.7 s]
Iteration 12 [25.9 s]: HR = 0.6823, NDCG = 0.4012, loss = 0.2486 [1.5 s]
Iteration 13 [25.7 s]: HR = 0.6772, NDCG = 0.4000, loss = 0.2479 [1.6 s]
Iteration 14 [25.4 s]: HR = 0.6795, NDCG = 0.4010, loss = 0.2474 [1.5 s]
Iteration 15 [25.3 s]: HR = 0.6765, NDCG = 0.4012, loss = 0.2469 [1.5 s]
Iteration 16 [25.3 s]: HR = 0.6806, NDCG = 0.4018, loss = 0.2462 [1.5 s]
Iteration 17 [25.5 s]: HR = 0.6781, NDCG = 0.4004, loss = 0.2461 [1.5 s]
Iteration 18 [25.3 s]: HR = 0.6795, NDCG = 0.4008, loss = 0.2455 [1.6 s]
Iteration 19 [25.5 s]: HR = 0.6810, NDCG = 0.4034, loss = 0.2450 [1.5 s]
Iteration 20 [25.1 s]: HR = 0.6778, NDCG = 0.4033, loss = 0.2448 [1.5 s]
Iteration 21 [25.6 s]: HR = 0.6786, NDCG = 0.4024, loss = 0.2446 [1.5 s]
Iteration 22 [25.4 s]: HR = 0.6791, NDCG = 0.4050, loss = 0.2441 [1.5 s]
Iteration 23 [25.3 s]: HR = 0.6781, NDCG = 0.4017, loss = 0.2439 [1.5 s]
Iteration 24 [25.3 s]: HR = 0.6826, NDCG = 0.4057, loss = 0.2437 [1.5 s]
Iteration 25 [25.9 s]: HR = 0.6806, NDCG = 0.4071, loss = 0.2437 [1.5 s]
Iteration 26 [25.9 s]: HR = 0.6798, NDCG = 0.4038, loss = 0.2433 [1.5 s]
Iteration 27 [25.9 s]: HR = 0.6796, NDCG = 0.4034, loss = 0.2433 [1.5 s]
Iteration 28 [25.5 s]: HR = 0.6786, NDCG = 0.4040, loss = 0.2430 [1.5 s]
Iteration 29 [25.7 s]: HR = 0.6798, NDCG = 0.4053, loss = 0.2429 [1.5 s]
Iteration 30 [25.6 s]: HR = 0.6825, NDCG = 0.4053, loss = 0.2427 [1.5 s]
Iteration 31 [25.7 s]: HR = 0.6874, NDCG = 0.4056, loss = 0.2423 [1.5 s]
Iteration 32 [25.2 s]: HR = 0.6841, NDCG = 0.4036, loss = 0.2425 [1.5 s]
Iteration 33 [25.3 s]: HR = 0.6839, NDCG = 0.4039, loss = 0.2423 [1.5 s]
Iteration 34 [25.3 s]: HR = 0.6816, NDCG = 0.4051, loss = 0.2417 [1.5 s]
Iteration 35 [25.4 s]: HR = 0.6858, NDCG = 0.4049, loss = 0.2418 [1.5 s]
Iteration 36 [25.3 s]: HR = 0.6785, NDCG = 0.4028, loss = 0.2418 [1.5 s]
Iteration 37 [25.5 s]: HR = 0.6869, NDCG = 0.4061, loss = 0.2417 [1.5 s]
Iteration 38 [25.3 s]: HR = 0.6858, NDCG = 0.4069, loss = 0.2414 [1.5 s]
Iteration 39 [25.1 s]: HR = 0.6815, NDCG = 0.4076, loss = 0.2415 [1.5 s]
Iteration 40 [24.9 s]: HR = 0.6838, NDCG = 0.4069, loss = 0.2414 [1.5 s]
Iteration 41 [25.5 s]: HR = 0.6834, NDCG = 0.4059, loss = 0.2414 [1.6 s]
Iteration 42 [25.1 s]: HR = 0.6800, NDCG = 0.4017, loss = 0.2411 [1.6 s]
Iteration 43 [25.1 s]: HR = 0.6815, NDCG = 0.4053, loss = 0.2409 [1.5 s]
Iteration 44 [24.7 s]: HR = 0.6843, NDCG = 0.4066, loss = 0.2411 [1.5 s]
Iteration 45 [25.0 s]: HR = 0.6834, NDCG = 0.4058, loss = 0.2410 [1.5 s]
Iteration 46 [25.2 s]: HR = 0.6828, NDCG = 0.4048, loss = 0.2408 [1.5 s]
Iteration 47 [25.2 s]: HR = 0.6828, NDCG = 0.4036, loss = 0.2406 [1.5 s]
Iteration 48 [25.3 s]: HR = 0.6869, NDCG = 0.4058, loss = 0.2407 [1.5 s]
Iteration 49 [24.9 s]: HR = 0.6863, NDCG = 0.4050, loss = 0.2405 [1.5 s]
End. Best Iteration 31:  HR = 0.6874, NDCG = 0.4056.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_8_[16,32,16,8]_1736398593.h5

################################# NeuMF w/o pretrained factor16 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 16 --layers [32,64,32,16] --reg_mf 0 --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Iteration 0 [110.3 s]: HR = 0.6033, NDCG = 0.3431, loss = 0.3192 [5.4 s]
Iteration 1 [93.3 s]: HR = 0.6379, NDCG = 0.3710, loss = 0.2741 [6.5 s]
Iteration 2 [95.7 s]: HR = 0.6513, NDCG = 0.3826, loss = 0.2640 [6.7 s]
Iteration 3 [115.9 s]: HR = 0.6662, NDCG = 0.3904, loss = 0.2583 [6.7 s]
Iteration 4 [105.2 s]: HR = 0.6666, NDCG = 0.3903, loss = 0.2543 [5.1 s]
Iteration 5 [82.2 s]: HR = 0.6692, NDCG = 0.3963, loss = 0.2511 [5.1 s]
Iteration 6 [85.4 s]: HR = 0.6801, NDCG = 0.4006, loss = 0.2485 [6.0 s]
Iteration 7 [110.5 s]: HR = 0.6767, NDCG = 0.3991, loss = 0.2464 [6.2 s]
Iteration 8 [102.6 s]: HR = 0.6811, NDCG = 0.4020, loss = 0.2449 [6.8 s]
Iteration 9 [119.7 s]: HR = 0.6793, NDCG = 0.4054, loss = 0.2437 [6.7 s]
Iteration 10 [104.7 s]: HR = 0.6834, NDCG = 0.4053, loss = 0.2419 [6.9 s]
Iteration 11 [116.8 s]: HR = 0.6859, NDCG = 0.4059, loss = 0.2407 [7.0 s]
Iteration 12 [105.1 s]: HR = 0.6825, NDCG = 0.4057, loss = 0.2396 [7.2 s]
Iteration 13 [117.4 s]: HR = 0.6868, NDCG = 0.4072, loss = 0.2386 [6.7 s]
Iteration 14 [102.8 s]: HR = 0.6851, NDCG = 0.4108, loss = 0.2376 [6.6 s]
Iteration 15 [118.3 s]: HR = 0.6795, NDCG = 0.4058, loss = 0.2369 [7.9 s]
Iteration 16 [153.9 s]: HR = 0.6876, NDCG = 0.4082, loss = 0.2362 [8.4 s]
Iteration 17 [152.6 s]: HR = 0.6881, NDCG = 0.4108, loss = 0.2357 [1.6 s]
Iteration 18 [109.2 s]: HR = 0.6874, NDCG = 0.4087, loss = 0.2350 [5.6 s]
Iteration 19 [104.2 s]: HR = 0.6889, NDCG = 0.4118, loss = 0.2343 [6.1 s]
Iteration 20 [105.4 s]: HR = 0.6849, NDCG = 0.4127, loss = 0.2339 [6.0 s]
Iteration 21 [125.4 s]: HR = 0.6887, NDCG = 0.4113, loss = 0.2336 [6.6 s]
Iteration 22 [131.3 s]: HR = 0.6848, NDCG = 0.4099, loss = 0.2332 [6.0 s]
Iteration 23 [98.2 s]: HR = 0.6876, NDCG = 0.4098, loss = 0.2329 [3.8 s]
Iteration 24 [70.0 s]: HR = 0.6874, NDCG = 0.4108, loss = 0.2325 [4.5 s]
Iteration 25 [77.7 s]: HR = 0.6874, NDCG = 0.4112, loss = 0.2326 [4.5 s]
Iteration 26 [70.8 s]: HR = 0.6874, NDCG = 0.4105, loss = 0.2315 [4.6 s]
Iteration 27 [77.7 s]: HR = 0.6902, NDCG = 0.4103, loss = 0.2312 [4.5 s]
Iteration 28 [72.4 s]: HR = 0.6874, NDCG = 0.4071, loss = 0.2314 [4.5 s]
Iteration 29 [79.9 s]: HR = 0.6901, NDCG = 0.4093, loss = 0.2309 [5.4 s]
Iteration 30 [74.5 s]: HR = 0.6848, NDCG = 0.4097, loss = 0.2309 [6.4 s]
Iteration 31 [128.3 s]: HR = 0.6901, NDCG = 0.4096, loss = 0.2306 [7.0 s]
Iteration 32 [114.9 s]: HR = 0.6839, NDCG = 0.4091, loss = 0.2305 [4.5 s]
Iteration 33 [103.8 s]: HR = 0.6856, NDCG = 0.4089, loss = 0.2300 [6.1 s]
Iteration 34 [116.8 s]: HR = 0.6841, NDCG = 0.4071, loss = 0.2299 [1.8 s]
Iteration 35 [112.2 s]: HR = 0.6863, NDCG = 0.4083, loss = 0.2297 [5.9 s]
Iteration 36 [107.1 s]: HR = 0.6858, NDCG = 0.4084, loss = 0.2295 [6.2 s]
Iteration 37 [108.4 s]: HR = 0.6834, NDCG = 0.4088, loss = 0.2293 [6.4 s]
Iteration 38 [121.4 s]: HR = 0.6853, NDCG = 0.4082, loss = 0.2290 [5.9 s]
Iteration 39 [101.6 s]: HR = 0.6866, NDCG = 0.4077, loss = 0.2292 [5.7 s]
Iteration 40 [106.0 s]: HR = 0.6879, NDCG = 0.4090, loss = 0.2288 [5.8 s]
Iteration 41 [114.8 s]: HR = 0.6834, NDCG = 0.4054, loss = 0.2287 [1.7 s]
Iteration 42 [112.6 s]: HR = 0.6884, NDCG = 0.4094, loss = 0.2287 [6.0 s]
Iteration 43 [110.6 s]: HR = 0.6821, NDCG = 0.4051, loss = 0.2281 [6.3 s]
Iteration 44 [105.8 s]: HR = 0.6879, NDCG = 0.4093, loss = 0.2282 [6.0 s]
Iteration 45 [120.8 s]: HR = 0.6859, NDCG = 0.4067, loss = 0.2280 [6.4 s]
Iteration 46 [108.7 s]: HR = 0.6848, NDCG = 0.4081, loss = 0.2279 [6.1 s]
Iteration 47 [104.2 s]: HR = 0.6813, NDCG = 0.4064, loss = 0.2280 [5.8 s]
Iteration 48 [122.4 s]: HR = 0.6846, NDCG = 0.4079, loss = 0.2276 [6.3 s]
Iteration 49 [106.8 s]: HR = 0.6874, NDCG = 0.4083, loss = 0.2276 [5.9 s]
End. Best Iteration 27:  HR = 0.6902, NDCG = 0.4103.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_8_[32,64,32,16]_1736400426.h5

################################# NeuMF w/o pretrained factor32 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 32 --layers [32,64,16,32] --reg_mf 0 --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.1051, NDCG = 0.0495
Iteration 0 [91.9 s]: HR = 0.5906, NDCG = 0.3372, loss = 0.3193 [2.0 s]
Iteration 1 [110.6 s]: HR = 0.6349, NDCG = 0.3661, loss = 0.2752 [1.9 s]
Iteration 2 [111.7 s]: HR = 0.6445, NDCG = 0.3755, loss = 0.2646 [1.9 s]
Iteration 3 [109.0 s]: HR = 0.6579, NDCG = 0.3841, loss = 0.2594 [2.2 s]
Iteration 4 [105.7 s]: HR = 0.6623, NDCG = 0.3903, loss = 0.2557 [1.8 s]
Iteration 5 [100.6 s]: HR = 0.6690, NDCG = 0.3964, loss = 0.2523 [2.3 s]
Iteration 6 [118.2 s]: HR = 0.6707, NDCG = 0.3968, loss = 0.2496 [2.3 s]
Iteration 7 [96.4 s]: HR = 0.6735, NDCG = 0.3968, loss = 0.2472 [2.0 s]
Iteration 8 [101.1 s]: HR = 0.6790, NDCG = 0.4013, loss = 0.2453 [2.0 s]
Iteration 9 [109.7 s]: HR = 0.6781, NDCG = 0.4033, loss = 0.2434 [2.1 s]
Iteration 10 [110.0 s]: HR = 0.6790, NDCG = 0.4047, loss = 0.2419 [1.8 s]
Iteration 11 [101.7 s]: HR = 0.6806, NDCG = 0.4068, loss = 0.2408 [1.8 s]
Iteration 12 [107.7 s]: HR = 0.6801, NDCG = 0.4050, loss = 0.2397 [1.9 s]
Iteration 13 [127.2 s]: HR = 0.6839, NDCG = 0.4068, loss = 0.2388 [2.0 s]
Iteration 14 [110.7 s]: HR = 0.6806, NDCG = 0.4083, loss = 0.2380 [2.3 s]
Iteration 15 [101.7 s]: HR = 0.6813, NDCG = 0.4065, loss = 0.2370 [1.9 s]
Iteration 16 [127.7 s]: HR = 0.6834, NDCG = 0.4102, loss = 0.2365 [2.0 s]
Iteration 17 [110.9 s]: HR = 0.6844, NDCG = 0.4106, loss = 0.2359 [1.9 s]
Iteration 18 [121.8 s]: HR = 0.6831, NDCG = 0.4094, loss = 0.2353 [2.3 s]
Iteration 19 [132.0 s]: HR = 0.6821, NDCG = 0.4079, loss = 0.2348 [1.9 s]
Iteration 20 [126.0 s]: HR = 0.6866, NDCG = 0.4106, loss = 0.2342 [1.9 s]
Iteration 21 [122.2 s]: HR = 0.6798, NDCG = 0.4113, loss = 0.2339 [1.9 s]
Iteration 22 [133.9 s]: HR = 0.6839, NDCG = 0.4120, loss = 0.2331 [2.1 s]
Iteration 23 [130.3 s]: HR = 0.6839, NDCG = 0.4107, loss = 0.2329 [1.8 s]
Iteration 24 [108.5 s]: HR = 0.6831, NDCG = 0.4104, loss = 0.2325 [1.9 s]
Iteration 25 [103.5 s]: HR = 0.6871, NDCG = 0.4116, loss = 0.2322 [1.9 s]
Iteration 26 [101.4 s]: HR = 0.6854, NDCG = 0.4111, loss = 0.2318 [1.9 s]
Iteration 27 [101.2 s]: HR = 0.6869, NDCG = 0.4084, loss = 0.2317 [1.8 s]
Iteration 28 [112.4 s]: HR = 0.6853, NDCG = 0.4115, loss = 0.2313 [2.3 s]
Iteration 29 [109.2 s]: HR = 0.6821, NDCG = 0.4095, loss = 0.2310 [2.0 s]
Iteration 30 [104.1 s]: HR = 0.6871, NDCG = 0.4116, loss = 0.2307 [1.8 s]
Iteration 31 [113.2 s]: HR = 0.6863, NDCG = 0.4117, loss = 0.2307 [1.8 s]
Iteration 32 [100.2 s]: HR = 0.6851, NDCG = 0.4098, loss = 0.2304 [1.9 s]
Iteration 33 [106.2 s]: HR = 0.6841, NDCG = 0.4103, loss = 0.2299 [1.8 s]
Iteration 34 [112.6 s]: HR = 0.6864, NDCG = 0.4101, loss = 0.2297 [1.8 s]
Iteration 35 [111.8 s]: HR = 0.6868, NDCG = 0.4120, loss = 0.2295 [2.5 s]
Iteration 36 [106.3 s]: HR = 0.6811, NDCG = 0.4076, loss = 0.2295 [1.8 s]
Iteration 37 [119.7 s]: HR = 0.6884, NDCG = 0.4087, loss = 0.2292 [2.2 s]
Iteration 38 [116.0 s]: HR = 0.6846, NDCG = 0.4113, loss = 0.2289 [1.8 s]
Iteration 39 [105.9 s]: HR = 0.6851, NDCG = 0.4115, loss = 0.2290 [1.8 s]
Iteration 40 [118.2 s]: HR = 0.6828, NDCG = 0.4097, loss = 0.2288 [1.8 s]
Iteration 41 [102.1 s]: HR = 0.6806, NDCG = 0.4100, loss = 0.2287 [2.0 s]
Iteration 42 [106.4 s]: HR = 0.6894, NDCG = 0.4121, loss = 0.2286 [1.8 s]
Iteration 43 [106.4 s]: HR = 0.6858, NDCG = 0.4115, loss = 0.2283 [1.9 s]
Iteration 44 [114.5 s]: HR = 0.6828, NDCG = 0.4086, loss = 0.2279 [1.8 s]
Iteration 45 [104.7 s]: HR = 0.6834, NDCG = 0.4082, loss = 0.2279 [1.9 s]
Iteration 46 [111.5 s]: HR = 0.6887, NDCG = 0.4079, loss = 0.2279 [1.9 s]
Iteration 47 [109.0 s]: HR = 0.6829, NDCG = 0.4064, loss = 0.2279 [2.0 s]
Iteration 48 [149.2 s]: HR = 0.6849, NDCG = 0.4100, loss = 0.2275 [2.2 s]
Iteration 49 [147.0 s]: HR = 0.6841, NDCG = 0.4107, loss = 0.2276 [2.3 s]
End. Best Iteration 42:  HR = 0.6894, NDCG = 0.4121.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_8_[32,64,16,32]_1736413918.h5

################################# NeuMF w/o pretrained factor64 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano 
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 64 --layers [16,32,32,64] --reg_mf 0 --reg_layers [0,0,0,0] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1
Init: HR = 0.0929, NDCG = 0.0407
Iteration 0 [730.2 s]: HR = 0.6445, NDCG = 0.3717, loss = 0.3025 [28.7 s]
Iteration 1 [598.7 s]: HR = 0.6805, NDCG = 0.4048, loss = 0.2474 [24.3 s]
Iteration 2 [707.9 s]: HR = 0.6833, NDCG = 0.4134, loss = 0.2268 [19.5 s]
Iteration 3 [577.5 s]: HR = 0.6874, NDCG = 0.4161, loss = 0.2159 [27.8 s]
Iteration 4 [612.4 s]: HR = 0.6886, NDCG = 0.4168, loss = 0.2085 [25.6 s]
Iteration 5 [565.0 s]: HR = 0.6894, NDCG = 0.4148, loss = 0.2032 [27.7 s]
Iteration 6 [656.8 s]: HR = 0.6881, NDCG = 0.4165, loss = 0.1991 [22.5 s]
Iteration 7 [628.2 s]: HR = 0.6851, NDCG = 0.4168, loss = 0.1960 [24.9 s]
Iteration 8 [578.4 s]: HR = 0.6858, NDCG = 0.4179, loss = 0.1933 [22.4 s]
Iteration 9 [572.4 s]: HR = 0.6846, NDCG = 0.4190, loss = 0.1912 [29.4 s]
Iteration 10 [584.6 s]: HR = 0.6826, NDCG = 0.4175, loss = 0.1892 [13.4 s]
Iteration 11 [612.9 s]: HR = 0.6808, NDCG = 0.4124, loss = 0.1873 [19.2 s]
Iteration 12 [597.8 s]: HR = 0.6831, NDCG = 0.4176, loss = 0.1858 [19.8 s]
Iteration 13 [601.5 s]: HR = 0.6853, NDCG = 0.4213, loss = 0.1842 [32.4 s]
Iteration 14 [608.4 s]: HR = 0.6892, NDCG = 0.4207, loss = 0.1829 [20.8 s]
Iteration 15 [567.9 s]: HR = 0.6851, NDCG = 0.4166, loss = 0.1817 [20.4 s]
Iteration 16 [584.4 s]: HR = 0.6863, NDCG = 0.4160, loss = 0.1805 [23.4 s]
Iteration 17 [607.5 s]: HR = 0.6882, NDCG = 0.4169, loss = 0.1796 [22.1 s]
Iteration 18 [596.1 s]: HR = 0.6899, NDCG = 0.4171, loss = 0.1786 [24.7 s]
Iteration 19 [585.4 s]: HR = 0.6801, NDCG = 0.4116, loss = 0.1780 [22.2 s]
Iteration 20 [593.1 s]: HR = 0.6844, NDCG = 0.4159, loss = 0.1770 [22.3 s]
Iteration 21 [563.1 s]: HR = 0.6806, NDCG = 0.4127, loss = 0.1764 [20.6 s]
Iteration 22 [605.0 s]: HR = 0.6770, NDCG = 0.4118, loss = 0.1755 [20.9 s]
Iteration 23 [596.2 s]: HR = 0.6844, NDCG = 0.4137, loss = 0.1753 [40.3 s]
Iteration 24 [656.8 s]: HR = 0.6820, NDCG = 0.4139, loss = 0.1744 [20.5 s]
Iteration 25 [641.8 s]: HR = 0.6821, NDCG = 0.4155, loss = 0.1740 [22.0 s]
Iteration 26 [595.7 s]: HR = 0.6821, NDCG = 0.4152, loss = 0.1731 [22.8 s]
Iteration 27 [596.7 s]: HR = 0.6815, NDCG = 0.4132, loss = 0.1725 [21.0 s]
Iteration 28 [492.4 s]: HR = 0.6846, NDCG = 0.4147, loss = 0.1722 [17.1 s]
Iteration 29 [460.3 s]: HR = 0.6831, NDCG = 0.4140, loss = 0.1716 [13.6 s]
Iteration 30 [320.2 s]: HR = 0.6791, NDCG = 0.4131, loss = 0.1711 [16.3 s]
Iteration 31 [384.1 s]: HR = 0.6834, NDCG = 0.4133, loss = 0.1708 [14.1 s]
Iteration 32 [420.8 s]: HR = 0.6783, NDCG = 0.4119, loss = 0.1704 [16.0 s]
Iteration 33 [370.7 s]: HR = 0.6834, NDCG = 0.4143, loss = 0.1702 [13.2 s]
Iteration 34 [323.2 s]: HR = 0.6815, NDCG = 0.4129, loss = 0.1695 [12.7 s]
Iteration 35 [357.3 s]: HR = 0.6843, NDCG = 0.4131, loss = 0.1691 [15.6 s]
Iteration 36 [469.2 s]: HR = 0.6770, NDCG = 0.4089, loss = 0.1689 [18.1 s]
Iteration 37 [330.3 s]: HR = 0.6829, NDCG = 0.4129, loss = 0.1684 [12.7 s]
Iteration 38 [352.8 s]: HR = 0.6760, NDCG = 0.4121, loss = 0.1682 [14.9 s]
Iteration 39 [498.8 s]: HR = 0.6775, NDCG = 0.4120, loss = 0.1678 [15.1 s]
Iteration 40 [480.0 s]: HR = 0.6775, NDCG = 0.4115, loss = 0.1673 [35.6 s]
Iteration 41 [570.9 s]: HR = 0.6776, NDCG = 0.4112, loss = 0.1674 [25.9 s]
Iteration 42 [532.2 s]: HR = 0.6828, NDCG = 0.4110, loss = 0.1670 [13.4 s]
Iteration 43 [397.5 s]: HR = 0.6762, NDCG = 0.4092, loss = 0.1667 [18.8 s]
Iteration 44 [508.9 s]: HR = 0.6795, NDCG = 0.4129, loss = 0.1665 [17.2 s]
Iteration 45 [531.3 s]: HR = 0.6806, NDCG = 0.4117, loss = 0.1664 [20.2 s]
Iteration 46 [395.8 s]: HR = 0.6765, NDCG = 0.4118, loss = 0.1657 [13.0 s]
Iteration 47 [427.4 s]: HR = 0.6763, NDCG = 0.4097, loss = 0.1658 [16.0 s]
Iteration 48 [482.7 s]: HR = 0.6815, NDCG = 0.4121, loss = 0.1656 [14.5 s]
Iteration 49 [367.1 s]: HR = 0.6820, NDCG = 0.4124, loss = 0.1655 [21.1 s]
End. Best Iteration 18:  HR = 0.6899, NDCG = 0.4171.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_64_[16,32,32,64]_1736414062.h5

################################# NeuMF w/ pretrained factor8 ####################################
docker run --volume=C:\Users\Winna\DADS6003\Docker_ML:/home ncf-keras-theano
python NeuMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --layers [16,32,16,8] --num_neg 4 --lr 0.001 --learner adam --verbose 1 --out 1 --mf_pretrain Pretrain/ml-1m_GMF_8_1736357676.h5 --mlp_pretrain Pretrain/ml-1m_MLP_[16,32,16,8]_1736396040.h5

Load pretrained GMF (Pretrain/ml-1m_GMF_8_1736357676.h5) and MLP (Pretrain/ml-1m_MLP_[16,32,16,8]_1736396040.h5) models done.
Init: HR = 0.6510, NDCG = 0.3762
Iteration 0 [90.2 s]: HR = 0.6526, NDCG = 0.3800, loss = 0.2629 [4.9 s]
Iteration 1 [58.8 s]: HR = 0.6652, NDCG = 0.3914, loss = 0.2551 [4.7 s]
Iteration 2 [64.4 s]: HR = 0.6672, NDCG = 0.3957, loss = 0.2502 [4.8 s]
Iteration 3 [51.8 s]: HR = 0.6743, NDCG = 0.3991, loss = 0.2478 [4.6 s]
Iteration 4 [65.2 s]: HR = 0.6796, NDCG = 0.4026, loss = 0.2466 [4.7 s]
Iteration 5 [53.9 s]: HR = 0.6770, NDCG = 0.4022, loss = 0.2451 [4.5 s]
Iteration 6 [64.5 s]: HR = 0.6798, NDCG = 0.4042, loss = 0.2446 [1.7 s]
Iteration 7 [66.5 s]: HR = 0.6826, NDCG = 0.4069, loss = 0.2440 [5.7 s]
Iteration 8 [77.4 s]: HR = 0.6831, NDCG = 0.4070, loss = 0.2434 [1.8 s]
Iteration 9 [78.0 s]: HR = 0.6826, NDCG = 0.4059, loss = 0.2433 [6.4 s]
Iteration 10 [70.1 s]: HR = 0.6815, NDCG = 0.4073, loss = 0.2424 [1.5 s]
Iteration 11 [26.5 s]: HR = 0.6821, NDCG = 0.4048, loss = 0.2423 [2.3 s]
Iteration 12 [27.9 s]: HR = 0.6844, NDCG = 0.4079, loss = 0.2420 [2.1 s]
Iteration 13 [26.3 s]: HR = 0.6825, NDCG = 0.4051, loss = 0.2418 [1.5 s]
Iteration 14 [26.8 s]: HR = 0.6843, NDCG = 0.4061, loss = 0.2418 [1.5 s]
Iteration 15 [26.8 s]: HR = 0.6831, NDCG = 0.4086, loss = 0.2414 [1.5 s]
Iteration 16 [26.6 s]: HR = 0.6853, NDCG = 0.4057, loss = 0.2411 [1.6 s]
Iteration 17 [26.1 s]: HR = 0.6844, NDCG = 0.4098, loss = 0.2411 [1.9 s]
Iteration 18 [26.1 s]: HR = 0.6859, NDCG = 0.4075, loss = 0.2409 [1.5 s]
Iteration 19 [26.6 s]: HR = 0.6849, NDCG = 0.4088, loss = 0.2406 [1.5 s]
Iteration 20 [26.7 s]: HR = 0.6896, NDCG = 0.4107, loss = 0.2408 [1.5 s]
Iteration 21 [26.4 s]: HR = 0.6876, NDCG = 0.4108, loss = 0.2403 [1.6 s]
Iteration 22 [26.1 s]: HR = 0.6820, NDCG = 0.4068, loss = 0.2404 [1.9 s]
Iteration 23 [26.4 s]: HR = 0.6846, NDCG = 0.4097, loss = 0.2401 [1.9 s]
Iteration 24 [27.9 s]: HR = 0.6836, NDCG = 0.4071, loss = 0.2402 [1.7 s]
Iteration 25 [28.6 s]: HR = 0.6841, NDCG = 0.4095, loss = 0.2400 [2.0 s]
Iteration 26 [28.1 s]: HR = 0.6873, NDCG = 0.4088, loss = 0.2403 [2.1 s]
Iteration 27 [28.3 s]: HR = 0.6871, NDCG = 0.4096, loss = 0.2400 [2.2 s]
Iteration 28 [26.8 s]: HR = 0.6825, NDCG = 0.4067, loss = 0.2398 [1.5 s]
Iteration 29 [24.6 s]: HR = 0.6854, NDCG = 0.4104, loss = 0.2395 [1.5 s]
Iteration 30 [24.5 s]: HR = 0.6810, NDCG = 0.4080, loss = 0.2396 [1.5 s]
Iteration 31 [24.5 s]: HR = 0.6849, NDCG = 0.4088, loss = 0.2398 [1.4 s]
Iteration 32 [24.7 s]: HR = 0.6836, NDCG = 0.4074, loss = 0.2395 [1.5 s]
Iteration 33 [24.6 s]: HR = 0.6816, NDCG = 0.4085, loss = 0.2395 [1.4 s]
Iteration 34 [24.8 s]: HR = 0.6866, NDCG = 0.4090, loss = 0.2396 [1.5 s]
Iteration 35 [24.6 s]: HR = 0.6856, NDCG = 0.4098, loss = 0.2395 [1.5 s]
Iteration 36 [24.6 s]: HR = 0.6838, NDCG = 0.4077, loss = 0.2395 [1.5 s]
Iteration 37 [24.5 s]: HR = 0.6841, NDCG = 0.4094, loss = 0.2394 [1.5 s]
Iteration 38 [24.6 s]: HR = 0.6834, NDCG = 0.4109, loss = 0.2393 [1.5 s]
Iteration 39 [24.7 s]: HR = 0.6869, NDCG = 0.4107, loss = 0.2391 [1.5 s]
Iteration 40 [24.7 s]: HR = 0.6831, NDCG = 0.4102, loss = 0.2396 [1.5 s]
Iteration 41 [24.6 s]: HR = 0.6841, NDCG = 0.4098, loss = 0.2391 [1.5 s]
Iteration 42 [24.7 s]: HR = 0.6815, NDCG = 0.4071, loss = 0.2392 [1.5 s]
Iteration 43 [24.5 s]: HR = 0.6868, NDCG = 0.4127, loss = 0.2391 [1.6 s]
Iteration 44 [24.5 s]: HR = 0.6808, NDCG = 0.4066, loss = 0.2391 [1.5 s]
Iteration 45 [24.6 s]: HR = 0.6856, NDCG = 0.4114, loss = 0.2390 [1.5 s]
Iteration 46 [24.5 s]: HR = 0.6856, NDCG = 0.4109, loss = 0.2391 [1.5 s]
Iteration 47 [24.7 s]: HR = 0.6868, NDCG = 0.4107, loss = 0.2393 [1.4 s]
Iteration 48 [24.7 s]: HR = 0.6863, NDCG = 0.4102, loss = 0.2391 [1.6 s]
Iteration 49 [24.6 s]: HR = 0.6874, NDCG = 0.4108, loss = 0.2388 [1.5 s]
End. Best Iteration 20:  HR = 0.6896, NDCG = 0.4107.
The best NeuMF model is saved to Pretrain/ml-1m_NeuMF_8_[16,32,16,8]_1736418827.h5

